Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             100.823     -3.805          27.010    174.425
N                                 136.207    -20.277          36.673    238.434
M                                 138.890     31.283          38.671    232.381
k1                                124.207    -35.619          40.395    242.382
k2                                117.794     18.008          40.614    236.768
tau1                              158.629    -41.829          41.208    265.300
tau2                              124.008     -2.148          33.910    217.522
tauAch                            117.987      0.189          32.820    211.405
tauNor                            109.142      4.327          34.291    209.028
beta                              142.992    -22.810          36.075    224.825
h0                                133.999     -1.935          35.359    226.734
mNor                              167.481     40.157          42.036    277.388
mAch                              110.189     13.632          33.283    201.133
