Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             102.139     -4.985          28.814    176.958
N                                 134.889    -20.278          38.228    237.221
M                                 139.862     29.065          36.944    231.764
k1                                124.805    -36.177          42.511    243.962
k2                                116.623     18.686          39.555    233.333
tau1                              159.712    -41.058          42.165    265.878
tau2                              127.244     -2.835          33.752    219.050
tauAch                            117.671      3.537          33.783    215.039
tauNor                            112.126      2.430          35.249    210.926
beta                              144.002    -25.914          33.541    223.773
h0                                138.367     -7.945          36.470    228.922
mNor                              167.671     41.420          44.567    278.700
mAch                              111.162     14.387          32.702    202.135
