Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             234.800     -2.259          68.970    421.928
N                                 324.869    -39.722          92.605    573.027
M                                 335.455     80.425          87.215    564.503
k1                                295.854    -88.510          99.387    586.428
k2                                283.340     50.111          95.148    572.532
tau1                              375.475   -106.919         103.446    639.385
tau2                              299.317    -13.602          82.685    527.842
tauAch                            286.012      4.813          86.960    516.157
tauNor                            260.424     17.353          82.022    505.216
beta                              339.356    -50.713          82.582    539.934
h0                                315.974    -11.875          87.904    551.064
mNor                              403.070     94.235         101.518    668.390
mAch                              254.093     28.188          78.067    481.298
