Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              49.098     -4.328          12.342     80.561
N                                  58.779    -10.196          17.049    105.131
M                                  63.646     10.002          16.049    102.586
k1                                 55.923    -15.589          18.567    108.115
k2                                 51.353      6.539          17.495    102.132
tau1                               72.736    -16.106          17.827    116.384
tau2                               58.652      0.125          15.437     99.116
tauAch                             53.353      1.520          15.405     96.879
tauNor                             51.578     -1.471          15.844     94.314
beta                               64.655    -12.949          14.983     99.727
h0                                 64.439     -3.684          14.531    101.377
mNor                               72.533     18.684          19.644    122.014
mAch                               51.016      7.578          14.415     89.878
