Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             140.467     -6.476          38.782    244.233
N                                 186.932    -27.509          52.589    328.487
M                                 193.112     40.620          51.252    320.495
k1                                172.676    -50.119          57.232    337.082
k2                                161.298     26.152          55.084    323.184
tau1                              220.452    -57.459          59.430    368.058
tau2                              175.443     -4.633          47.716    302.979
tauAch                            162.428      4.883          48.747    296.622
tauNor                            154.315      3.693          48.133    291.467
beta                              199.069    -34.764          45.910    309.391
h0                                190.088    -10.495          49.570    316.122
mNor                              232.258     57.080          61.163    385.228
mAch                              153.144     19.659          46.424    279.382
