Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             162.034     -3.589          47.443    290.857
N                                 223.401    -29.418          64.691    394.026
M                                 230.016     53.257          60.462    387.001
k1                                203.949    -60.722          69.233    403.969
k2                                193.294     33.780          64.616    391.248
tau1                              259.091    -72.064          70.386    440.938
tau2                              206.310     -8.144          59.374    362.687
tauAch                            194.668      4.530          60.534    355.201
tauNor                            180.594      9.545          56.555    348.447
beta                              234.916    -37.626          56.158    371.161
h0                                219.325    -10.469          60.193    379.560
mNor                              278.165     66.274          75.923    461.330
mAch                              177.262     20.694          54.887    332.760
