Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.869     -4.173          68.191    425.551
N                                 329.031    -39.330          95.568    578.887
M                                 337.926     79.089          89.214    570.050
k1                                298.119    -88.753         101.357    591.742
k2                                287.087     50.052          99.629    578.545
tau1                              380.652   -107.532         100.998    646.895
tau2                              302.750    -12.652          88.676    533.272
tauAch                            288.369      5.286          89.224    523.732
tauNor                            264.626     15.565          84.237    511.456
beta                              343.859    -50.712          82.188    545.546
h0                                319.534    -14.007          87.640    556.676
mNor                              409.444     96.203         106.925    677.261
mAch                              257.580     28.769          79.594    487.760
