Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                          16728760752994018.000 16728760752994004.000 32057182206424440.000 167287607529939360.000
N                                  39.615      1.294          11.506     69.468
M                                  34.672     -4.016           9.713     59.971
k1                                 32.663      5.400          10.098     61.472
k2                                 40.657     -2.539          11.769     75.377
tau1                               40.294     11.621          10.217     63.371
tau2                               29.807     -1.693           8.624     53.285
tauAch                         16728760752994030.000 16728760752994010.000 31769280922913768.000 167287607529939360.000
tauNor                             33.707     -1.941           9.990     60.846
beta                           230905182.319 230905140.476   465920994.655 2309051454.156
h0                                 34.121     -3.555           8.417     55.604
mNor                           230905187.436 230905136.604   464308783.864 2309051457.957
mAch                               33.862      3.739          10.960     64.918
