Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.583     -3.515          68.995    427.815
N                                 333.626    -40.113          93.498    584.569
M                                 341.709     80.178          90.730    573.630
k1                                301.849    -89.443          99.608    593.679
k2                                291.997     48.378          98.808    584.522
tau1                              385.106   -107.881         104.554    649.955
tau2                              304.832    -11.557          87.466    535.210
tauAch                            293.645      2.628          85.895    525.140
tauNor                            266.449     15.871          85.880    513.435
beta                              346.722    -48.099          82.289    549.791
h0                                322.475     -8.389          88.155    557.039
mNor                              411.750     95.879         104.258    680.635
mAch                              260.943     28.114          80.279    490.568
