Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             195.075    -16.970          51.567    325.026
N                                 244.340    -40.272          69.015    433.238
M                                 256.329     42.602          63.265    417.453
k1                                227.695    -65.210          73.381    438.715
k2                                210.122     28.459          66.182    419.145
tau1                              291.176    -71.536          72.812    477.872
tau2                              236.358     -4.231          62.779    404.322
tauAch                            213.265      5.529          63.812    387.476
tauNor                            201.224     -6.178          64.272    383.242
beta                              262.146    -42.388          62.158    406.183
h0                                253.785     -9.574          61.090    409.403
mNor                              299.290     77.002          80.960    498.736
mAch                              205.672     28.680          58.729    365.822
