Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             241.296     -2.268          69.686    430.758
N                                 334.975    -38.464          92.558    587.163
M                                 344.491     81.724          89.838    577.985
k1                                303.569    -90.064         105.309    597.845
k2                                294.006     50.211          98.886    588.564
tau1                              386.591   -109.899         101.211    653.764
tau2                              307.135    -13.283          87.002    539.434
tauAch                            295.760      3.397          87.408    529.408
tauNor                            268.220     17.524          85.274    516.932
beta                              348.145    -47.775          82.717    552.895
h0                                324.028    -10.157          86.681    561.706
mNor                              414.179     96.028         106.870    684.318
mAch                              260.549     27.628          78.236    492.759
