Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             230.226     -3.238          69.421    417.155
N                                 319.859    -40.003          89.664    565.495
M                                 329.867     78.848          87.992    557.301
k1                                290.984    -87.313         102.065    580.172
k2                                278.007     49.803          93.372    564.130
tau1                              369.793   -105.066         104.144    632.384
tau2                              294.867    -13.314          85.164    521.410
tauAch                            280.528      5.812          84.379    510.669
tauNor                            256.575     16.338          80.363    499.247
beta                              335.107    -51.841          80.717    533.130
h0                                311.352    -13.892          89.126    545.435
mNor                              398.326     93.796         106.398    661.059
mAch                              251.011     28.626          76.233    476.289
