Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             204.984     -2.595          59.512    368.473
N                                 283.949    -35.984          84.425    500.995
M                                 292.189     69.405          78.645    492.505
k1                                258.502    -77.288          90.140    512.138
k2                                247.225     42.761          82.474    499.966
tau1                              328.035    -92.632          89.874    558.687
tau2                              260.977    -10.661          72.690    460.762
tauAch                            249.110      3.809          70.308    450.214
tauNor                            227.551     14.130          71.560    441.719
beta                              296.938    -44.982          71.855    471.999
h0                                276.059     -9.618          77.071    480.808
mNor                              352.270     82.856          92.759    584.394
mAch                              223.033     25.043          70.553    421.018
