Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.513     -2.495          66.939    430.071
N                                 334.191    -38.543          96.539    586.098
M                                 343.634     81.386          93.485    577.006
k1                                302.824    -89.889         103.039    597.051
k2                                293.167     50.179          99.717    587.315
tau1                              385.769   -109.628         108.874    652.881
tau2                              306.580    -13.198          87.823    538.660
tauAch                            294.799      3.629          85.475    528.716
tauNor                            267.758     17.272          85.845    516.303
beta                              347.622    -48.098          84.257    551.986
h0                                323.394    -10.680          87.654    561.047
mNor                              413.635     96.077         108.620    683.465
mAch                              260.069     27.749          81.547    492.152
