Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             238.536     -3.120          66.940    428.487
N                                 332.249    -38.456          92.382    583.500
M                                 341.612     80.557          87.774    574.762
k1                                301.109    -89.460         100.040    595.482
k2                                290.886     50.549          99.938    584.132
tau1                              383.721   -109.139         102.319    651.114
tau2                              305.467    -13.369          83.949    537.246
tauAch                            292.191      4.635          87.164    527.160
tauNor                            266.763     16.719          86.353    514.941
beta                              346.310    -49.218          84.829    549.732
h0                                321.961    -12.652          84.457    560.094
mNor                              412.400     96.155         108.455    681.460
mAch                              258.841     28.221          82.075    490.637
