Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              28.382      0.385           8.277     50.971
N                                  38.364      3.457          10.679     69.242
M                                  33.913     -7.120           8.705     55.991
k1                                 31.283     10.603          10.004     58.569
k2                                 38.551     -1.764          11.790     71.485
tau1                               38.226     11.739           9.650     60.507
tau2                               28.382      0.797           7.322     47.257
tauAch                             40.068      6.744          10.902     67.235
tauNor                             32.790     -5.162          10.324     63.895
beta                               33.513     -1.717           7.955     52.857
h0                             42180327919.327 -42180327891.158 80914358340.673 421803278846.352
mNor                               39.133     -8.353          10.059     63.020
mAch                           42180327913.773 -42180327882.783 81730399859.239 421803278845.841
