Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             232.983     -3.280          66.611    421.140
N                                 323.609    -40.364          88.640    571.426
M                                 333.296     79.395          87.246    562.612
k1                                294.152    -88.166          94.413    585.361
k2                                281.305     49.811          95.872    569.920
tau1                              373.971   -106.078         102.115    638.466
tau2                              297.864    -13.105          85.077    526.251
tauAch                            283.737      5.463          82.830    515.405
tauNor                            259.512     16.321          83.557    504.283
beta                              338.527    -51.804          82.404    538.298
h0                                314.521    -13.226          89.547    549.992
mNor                              402.566     94.693         104.919    667.662
mAch                              253.812     28.712          82.731    481.086
