Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.033     -2.680          67.295    427.419
N                                 332.708    -40.029          90.648    583.751
M                                 340.982     80.014          92.005    572.380
k1                                301.640    -89.691          98.637    592.622
k2                                291.034     48.349         100.528    583.212
tau1                              383.813   -108.116         104.552    648.782
tau2                              304.367    -11.854          86.625    534.692
tauAch                            292.674      2.843          85.871    523.141
tauNor                            266.175     16.077          86.409    513.545
beta                              345.675    -48.084          85.922    548.667
h0                                321.395     -8.175          88.425    555.923
mNor                              410.789     95.587         104.705    679.186
mAch                              259.888     27.714          79.801    489.226
