Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.418     -6.966          65.596    415.645
N                                 326.359    -43.699          94.228    572.374
M                                 331.954     67.609          88.999    556.818
k1                                296.445    -84.307          95.592    572.457
k2                                286.592     40.290          94.983    573.453
tau1                              379.027   -105.152         100.858    632.035
tau2                              299.782     -4.537          82.444    524.306
tauAch                            280.515     -0.030          84.076    507.425
tauNor                            268.130      6.879          89.367    511.962
beta                              343.318    -46.960          82.311    541.675
h0                                318.815     -5.629          83.910    540.044
mNor                              403.151     99.884         105.933    665.048
mAch                              261.568     27.067          76.046    480.503
