Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.324     -3.388          70.539    427.753
N                                 330.758    -38.502          90.882    581.681
M                                 340.458     80.525          93.194    573.568
k1                                299.739    -89.309         106.036    594.777
k2                                289.262     50.980         100.049    582.213
tau1                              382.322   -108.782         101.967    649.881
tau2                              304.420    -13.635          87.455    536.139
tauAch                            290.909      5.197          82.584    526.798
tauNor                            265.661     16.799          85.861    513.450
beta                              345.241    -49.920          86.499    548.246
h0                                320.892    -13.799          87.480    559.630
mNor                              411.202     96.080         109.377    680.112
mAch                              257.894     28.326          80.700    489.653
