Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             244.074     -5.468          67.657    429.213
N                                 335.178    -41.546          95.822    586.711
M                                 343.306     81.798          91.622    574.987
k1                                302.345    -89.327         100.208    594.656
k2                                292.637     48.232          99.140    585.469
tau1                              387.410   -106.438         100.677    651.677
tau2                              304.055    -11.103          87.747    534.186
tauAch                            295.516      2.011          84.405    525.914
tauNor                            263.680     14.587          83.950    510.478
beta                              347.207    -47.954          82.532    550.468
h0                                324.168     -6.183          90.666    557.544
mNor                              411.325     95.060         108.240    681.003
mAch                              263.914     29.514          82.459    492.191
