Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              54.577     14.066          18.048    106.588
N                                  52.287     -5.970          14.758     92.512
M                                  54.409     13.595          14.273     90.381
k1                                 51.237    -12.818          16.177     95.663
k2                                 52.078      6.236          16.091     97.067
tau1                               65.750    -14.433          20.307    120.270
tau2                               50.198     -1.101          13.605     86.410
tauAch                             58.494     -1.201          17.749    106.725
tauNor                             49.403     10.868          16.751     97.531
beta                               54.165     -4.683          13.813     87.211
h0                                 55.571      9.347          15.801     98.143
mNor                              498.394   -420.588         835.984   4349.911
mAch                              482.295    432.290         840.237   4355.142
