Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.628     -3.407          69.563    427.642
N                                 331.307    -38.852          94.718    582.165
M                                 340.379     80.027          93.479    573.265
k1                                300.046    -89.290         103.732    594.136
k2                                289.729     50.198          98.883    582.397
tau1                              382.637   -108.595         102.884    649.770
tau2                              304.445    -13.002          85.757    535.772
tauAch                            291.089      4.696          85.749    526.081
tauNor                            266.104     16.277          85.882    513.915
beta                              345.505    -49.445          84.940    548.471
h0                                320.993    -12.843          89.666    558.734
mNor                              411.567     96.211         108.483    680.308
mAch                              258.481     28.203          83.025    489.878
