Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             256.781    -11.382          67.530    438.589
N                                 340.820    -42.463          91.975    595.448
M                                 350.920     86.881          89.285    583.886
k1                                306.812    -90.144          99.571    598.759
k2                                297.861     48.090          99.743    592.649
tau1                              394.699   -104.999         103.717    659.192
tau2                              306.245    -10.655          83.107    537.316
tauAch                            303.895     -1.595          81.443    530.672
tauNor                            277.007      4.346          85.709    532.312
beta                              350.418    -45.396          83.968    555.376
h0                                329.285     -0.184          87.454    562.358
mNor                              412.601     93.171         105.423    685.027
mAch                              271.178     32.818          82.627    498.033
