Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.675     -3.936          70.975    426.332
N                                 331.180    -39.753          92.795    581.594
M                                 339.379     78.537          92.569    570.794
k1                                300.049    -89.150         101.341    591.574
k2                                288.994     48.783          94.196    580.381
tau1                              382.624   -107.629         103.071    648.095
tau2                              303.814    -11.901          88.385    533.919
tauAch                            289.852      4.317          87.422    523.208
tauNor                            266.242     14.825          87.827    513.311
beta                              344.999    -49.198          83.513    547.116
h0                                320.686    -11.598          90.846    555.814
mNor                              410.887     96.347         107.688    678.893
mAch                              259.239     28.212          82.547    488.973
