Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             194.213     -4.385          53.616    348.345
N                                 267.571    -35.467          76.258    471.647
M                                 275.528     63.678          73.303    463.192
k1                                244.369    -72.619          84.810    483.699
k2                                231.479     40.335          75.865    468.374
tau1                              310.377    -86.153          84.542    527.983
tau2                              247.093     -9.530          72.917    434.026
tauAch                            233.140      5.454          69.869    425.264
tauNor                            216.418     11.259          70.673    417.136
beta                              281.527    -45.273          67.981    444.397
h0                                262.816    -12.581          73.042    454.374
mNor                              333.117     79.451          85.204    552.394
mAch                              212.646     24.920          65.583    398.663
