Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             222.407     -9.658          61.937    385.495
N                                 300.231    -44.411          86.448    527.597
M                                 308.027     59.260          79.131    509.961
k1                                275.743    -78.876          86.959    529.018
k2                                259.443     37.134          88.192    520.338
tau1                              350.050    -94.342          90.760    583.412
tau2                              278.278     -5.458          76.956    483.629
tauAch                            255.054      3.173          77.170    464.478
tauNor                            244.872      1.824          72.130    468.360
beta                              318.026    -45.850          73.574    497.065
h0                                295.279     -7.204          78.184    496.668
mNor                              370.135     92.335          99.310    611.250
mAch                              244.481     28.353          72.631    443.420
