Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             221.394     -3.396          65.753    400.672
N                                 307.455    -38.947          86.553    543.448
M                                 316.715     75.134          85.475    534.927
k1                                279.823    -83.876          94.596    557.050
k2                                266.958     47.330          94.307    541.637
tau1                              355.603   -100.606          98.303    607.537
tau2                              283.236    -12.219          77.697    500.683
tauAch                            269.073      5.498          80.913    490.037
tauNor                            246.924     15.068          80.610    479.957
beta                              322.228    -50.047          78.143    512.187
h0                                299.479    -13.084          82.175    523.521
mNor                              382.851     90.365         102.232    635.276
mAch                              241.823     27.632          74.245    457.790
