Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             137.855     -2.138          41.571    249.367
N                                 191.512    -24.251          57.306    338.320
M                                 197.218     46.690          53.529    332.835
k1                                174.316    -52.149          60.603    346.603
k2                                166.236     29.435          55.930    336.993
tau1                              221.465    -62.622          60.180    378.190
tau2                              176.359     -7.639          48.278    311.498
tauAch                            167.402      3.468          49.094    304.760
tauNor                            153.804      9.299          49.899    298.797
beta                              200.652    -31.091          46.118    318.755
h0                                186.475     -8.160          53.521    325.768
mNor                              238.431     56.268          65.094    395.399
mAch                              150.608     17.232          46.511    284.986
