Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             238.834     -1.885          70.052    428.008
N                                 330.853    -38.896          93.860    581.824
M                                 341.455     81.393          90.889    573.069
k1                                300.608    -89.693         102.191    594.047
k2                                289.159     50.772          99.836    582.031
tau1                              382.182   -109.119         103.800    648.892
tau2                              304.118    -13.906          89.349    535.231
tauAch                            291.655      4.566          87.344    524.328
tauNor                            265.262     17.749          82.862    512.894
beta                              344.317    -49.258          81.251    547.911
h0                                321.187    -11.604          87.400    558.298
mNor                              410.051     95.274         104.010    678.598
mAch                              257.842     27.618          79.935    488.591
