Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             199.921     -6.485          56.727    356.155
N                                 276.124    -37.725          76.300    485.797
M                                 282.856     61.691          74.372    473.198
k1                                252.360    -73.889          85.190    494.706
k2                                238.826     39.489          81.412    480.931
tau1                              320.728    -88.488          88.524    541.798
tau2                              255.483     -8.668          72.091    446.842
tauAch                            236.978      5.550          67.723    433.315
tauNor                            223.388      8.452          68.587    429.162
beta                              291.027    -45.609          69.464    456.799
h0                                271.603    -10.874          73.324    464.334
mNor                              342.170     83.048          89.835    565.760
mAch                              220.878     26.833          66.544    409.201
