Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.344     -2.516          67.649    430.048
N                                 334.087    -38.347          94.083    586.005
M                                 343.575     81.278          90.790    577.009
k1                                302.790    -89.890          98.608    597.104
k2                                292.996     50.381         100.059    587.131
tau1                              385.646   -109.747         104.052    652.983
tau2                              306.697    -13.382          88.001    538.886
tauAch                            294.521      3.884          87.247    528.731
tauNor                            267.905     17.244          84.409    516.533
beta                              347.548    -48.200          84.914    551.910
h0                                323.326    -11.155          90.114    561.276
mNor                              413.729     96.113         106.413    683.520
mAch                              259.883     27.758          82.942    492.095
