Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             239.983     -3.242          70.509    428.278
N                                 334.039    -38.894          95.151    585.897
M                                 342.228     79.393          90.932    574.251
k1                                302.693    -89.915          99.392    594.166
k2                                292.112     49.145          98.336    584.460
tau1                              385.384   -108.709         103.281    651.389
tau2                              306.773    -12.921          85.538    537.476
tauAch                            292.653      3.868          83.337    525.136
tauNor                            268.090     15.436          83.342    516.063
beta                              346.993    -47.677          85.672    550.224
h0                                322.570    -10.318          87.143    558.303
mNor                              413.173     96.100         103.889    681.884
mAch                              260.554     27.833          81.784    490.736
