Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             241.593     -2.068          69.441    431.351
N                                 335.139    -37.464          94.050    587.442
M                                 345.434     82.151          93.311    579.239
k1                                304.023    -90.246         103.695    599.158
k2                                294.093     51.384         100.120    589.169
tau1                              386.878   -110.677         105.147    654.815
tau2                              308.306    -14.366          88.019    541.205
tauAch                            296.021      4.220          83.854    530.768
tauNor                            268.970     18.109          84.994    517.782
beta                              348.243    -47.978          85.386    553.415
h0                                324.552    -11.717          91.349    563.570
mNor                              414.611     95.952         105.847    685.060
mAch                              260.148     27.572          82.304    492.909
