Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             241.887     -1.966          69.151    431.151
N                                 335.749    -37.841          96.413    588.420
M                                 345.285     81.465          92.580    578.804
k1                                304.702    -90.379         101.688    598.500
k2                                294.634     50.657          98.370    589.445
tau1                              387.231   -110.528         105.840    654.902
tau2                              308.525    -13.823          86.480    541.229
tauAch                            295.915      3.740          86.766    529.267
tauNor                            269.228     17.548          84.192    518.511
beta                              348.563    -47.548          80.994    553.723
h0                                324.682    -10.381          85.487    562.759
mNor                              414.927     95.961         107.173    685.155
mAch                              260.645     27.411          81.614    492.814
