Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             231.935     -3.981          68.056    419.274
N                                 322.018    -40.884          88.810    568.745
M                                 331.478     78.366          91.326    559.692
k1                                292.892    -87.725          97.867    582.916
k2                                279.396     49.258          95.767    566.649
tau1                              372.582   -105.019         100.346    635.767
tau2                              296.633    -12.497          81.982    523.900
tauAch                            281.653      5.701          84.453    513.238
tauNor                            258.875     15.440          81.251    502.235
beta                              337.463    -52.590          81.486    535.825
h0                                313.606    -13.773          88.060    547.648
mNor                              400.844     94.715         102.761    665.048
mAch                              253.581     29.107          76.841    479.354
