Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.042     -5.607          68.292    422.500
N                                 327.267    -40.661          90.795    574.781
M                                 335.870     76.648          92.230    564.465
k1                                297.355    -87.960         105.917    587.112
k2                                284.676     48.691          95.997    572.502
tau1                              379.866   -105.572         106.181    642.588
tau2                              301.654    -11.440          84.823    529.037
tauAch                            285.473      5.747          87.706    519.007
tauNor                            264.613     13.406          83.923    508.359
beta                              342.972    -51.941          86.138    541.263
h0                                320.288    -14.601          90.836    552.087
mNor                              407.112     96.435         103.802    672.859
mAch                              258.285     29.528          80.725    484.983
