Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             175.514     -5.139          49.913    312.349
N                                 240.973    -32.831          65.385    423.778
M                                 247.570     55.197          66.806    414.012
k1                                220.856    -65.156          74.032    432.790
k2                                207.634     34.964          72.235    418.563
tau1                              279.948    -76.252          72.981    473.621
tau2                              222.736     -7.921          62.006    389.182
tauAch                            207.961      5.068          60.761    379.842
tauNor                            195.683      8.073          62.785    374.767
beta                              253.864    -40.951          59.468    398.324
h0                                237.611    -11.093          60.927    406.168
mNor                              299.380     71.801          78.229    495.506
mAch                              192.861     22.977          58.125    357.929
