Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             185.997     -6.654          54.149    328.489
N                                 251.280    -35.551          67.832    442.354
M                                 259.259     57.584          66.895    433.727
k1                                231.037    -67.842          78.244    455.097
k2                                216.908     36.845          74.034    437.449
tau1                              294.914    -78.892          80.311    496.144
tau2                              234.507     -7.305          64.536    407.817
tauAch                            219.108      6.161          65.501    400.739
tauNor                            206.164      7.912          64.673    392.277
beta                              266.550    -45.852          62.724    417.092
h0                                253.016    -13.971          67.326    427.389
mNor                              312.839     76.054          82.825    519.590
mAch                              203.609     25.211          63.163    375.839
