Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              35.241     -8.851          15.084     87.623
N                                  36.670      4.315          10.040     64.519
M                                  37.707     -9.448           9.905     61.815
k1                                 33.605      9.935          10.758     63.053
k2                                 33.254     -4.153          10.841     64.192
tau1                               42.442     10.766          11.468     70.435
tau2                               32.452      0.471           9.162     56.787
tauAch                             47.175    -12.214          28.286    148.237
tauNor                             33.315      2.055          12.968     73.184
beta                               36.961      3.069           9.181     58.995
h0                                 35.276     -3.412           9.773     60.632
mNor                              455.670    403.489         788.384   4129.026
mAch                              441.064   -414.532         777.471   4130.041
