Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.225     -3.896          70.887    426.099
N                                 329.630    -39.261          93.041    579.838
M                                 338.498     79.236          91.181    570.803
k1                                298.661    -88.993          98.828    592.265
k2                                287.658     50.066          98.886    579.493
tau1                              381.039   -107.830         101.372    647.655
tau2                              303.157    -12.722          79.831    533.926
tauAch                            288.995      5.131          86.352    524.107
tauNor                            264.950     15.730          85.726    512.158
beta                              344.182    -50.317          82.520    546.291
h0                                319.707    -13.550          90.802    557.076
mNor                              409.955     96.183         107.203    678.067
mAch                              257.805     28.468          80.219    488.228
