Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             243.312     -1.482          70.384    432.888
N                                 337.037    -37.545          94.150    590.053
M                                 347.263     82.614          92.607    581.228
k1                                305.727    -90.653         104.007    600.520
k2                                296.225     50.910          99.483    592.114
tau1                              388.817   -111.120         105.397    656.607
tau2                              309.483    -14.089          83.671    542.624
tauAch                            298.222      3.339          89.730    531.965
tauNor                            270.096     18.371          85.818    519.479
beta                              349.539    -46.958          84.610    555.587
h0                                326.009     -9.901          88.872    564.441
mNor                              415.954     95.914         108.967    687.050
mAch                              261.407     27.177          79.647    494.397
