Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             242.091     -3.307          67.857    426.309
N                                 331.027    -41.460          97.007    581.407
M                                 340.923     82.640          93.497    570.193
k1                                300.433    -89.296          98.743    590.674
k2                                288.713     48.964          98.414    579.870
tau1                              382.473   -106.559         107.424    645.500
tau2                              301.587    -12.577          85.763    530.469
tauAch                            292.525      2.294          81.421    519.651
tauNor                            260.542     16.869          84.093    506.524
beta                              342.987    -48.632          81.272    545.360
h0                                321.149     -5.529          85.940    553.839
mNor                              405.949     93.516         106.670    673.623
mAch                              259.968     28.724          80.201    486.177
