Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.961     -3.247          70.175    428.205
N                                 331.576    -38.489          92.025    582.737
M                                 341.073     80.480          88.941    574.197
k1                                300.420    -89.442         103.719    595.084
k2                                290.089     50.714         106.001    583.161
tau1                              382.996   -108.977         107.884    650.590
tau2                              304.948    -13.509          86.374    536.673
tauAch                            291.565      4.918          86.718    527.000
tauNor                            266.256     16.701          86.927    514.306
beta                              345.758    -49.433          81.689    549.023
h0                                321.413    -13.185          86.439    559.780
mNor                              411.913     96.136         106.559    680.939
mAch                              258.415     28.168          79.580    490.242
