Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             251.611    -12.817          67.042    431.311
N                                 335.699    -43.919          91.770    587.173
M                                 344.450     83.568          89.191    574.575
k1                                302.105    -88.748          98.675    591.196
k2                                291.560     46.622          97.280    582.515
tau1                              389.666   -102.007         102.374    651.195
tau2                              301.961     -9.308          85.256    530.143
tauAch                            296.201      0.112          83.082    522.691
tauNor                            272.564      1.831          87.736    523.268
beta                              346.295    -47.618          80.257    547.834
h0                                324.904     -2.348          90.810    554.254
mNor                              407.951     93.595         105.377    677.364
mAch                              268.900     33.602          77.474    492.584
