Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             133.817   -126.846         239.779   1227.752
N                                   9.085      1.102           2.597     16.017
M                                   9.197     -2.175           2.391     15.553
k1                                  8.970      1.696           2.962     17.464
k2                                  9.839     -1.142           2.976     18.156
tau1                               13.560      0.642           6.972     37.205
tau2                              543.882   -535.309        1066.592   5354.033
tauAch                             11.858      0.629           4.114     24.385
tauNor                             11.124     -4.343           6.427     33.512
beta                              421.824   -412.374         769.459   4127.751
h0                               1081.946  -1074.347        2125.489  10712.969
mNor                               11.197     -2.971           2.881     18.431
mAch                                9.467      1.927           3.950     23.219
