Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             249.674    -13.734          71.969    437.715
N                                 331.190    -42.460          93.836    581.675
M                                 338.657     80.331          92.227    566.724
k1                                299.094    -89.437          99.468    587.004
k2                                286.725     47.555          99.898    575.628
tau1                              379.013   -107.051         102.066    642.332
tau2                              300.916    -11.820          84.986    527.944
tauAch                            307.686     -7.033          87.551    539.124
tauNor                            265.098     18.530          84.581    511.442
beta                              342.091    -48.548          86.405    542.963
h0                                319.364     -6.586          86.061    549.847
mNor                              406.165     87.110         107.054    673.456
mAch                              267.424     34.443          80.221    491.416
