Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             196.996      6.883          52.282    334.078
N                                 252.530    -29.886          72.788    442.999
M                                 262.391     61.191          68.579    438.390
k1                                228.510    -63.467          75.948    443.749
k2                                238.259     29.186          78.980    462.961
tau1                              291.902    -88.170          78.494    488.764
tau2                              229.095     -5.020          67.694    404.871
tauAch                            232.432     -2.786          63.373    399.902
tauNor                            210.197     10.368          65.193    400.728
beta                              270.842    -23.785          63.035    429.926
h0                                244.236      4.369          68.323    421.068
mNor                              311.002     71.914          79.111    513.367
mAch                              199.488     15.120          59.592    372.066
