Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              72.797     -1.862          21.082    130.010
N                                  99.633    -13.131          29.084    175.872
M                                 103.043     23.895          28.461    173.394
k1                                 91.205    -27.152          29.401    181.029
k2                                 86.600     15.127          28.569    175.111
tau1                              116.425    -32.088          31.143    197.011
tau2                               92.808     -3.472          25.705    162.581
tauAch                             87.459      1.992          25.367    159.357
tauNor                             81.133      4.342          25.078    155.769
beta                              105.273    -17.266          25.130    165.978
h0                                 99.022     -4.877          26.729    170.155
mNor                              124.326     29.764          32.172    206.323
mAch                               79.645      9.500          24.291    148.888
