Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             239.460     -2.773          68.377    429.378
N                                 333.123    -38.232          94.553    584.723
M                                 342.739     81.081          91.496    576.131
k1                                301.906    -89.745         105.490    596.500
k2                                291.924     50.684         100.097    585.701
tau1                              384.623   -109.555         102.520    652.138
tau2                              306.167    -13.604          86.670    538.274
tauAch                            293.473      4.361          88.520    528.343
tauNor                            267.356     17.163          84.820    515.712
beta                              346.878    -48.677          87.968    550.863
h0                                322.609    -12.167          91.023    560.955
mNor                              413.058     96.095         106.097    682.602
mAch                              259.167     27.883          77.930    491.369
