Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             243.625     -1.865          67.417    430.666
N                                 337.192    -39.530          96.707    590.259
M                                 344.895     80.371          91.760    577.301
k1                                305.609    -90.735          99.917    596.222
k2                                295.878     47.829          99.571    589.942
tau1                              388.503   -109.100         109.242    653.966
tau2                              308.015    -11.386          87.371    539.381
tauAch                            298.264      1.992          81.763    526.706
tauNor                            269.045     15.538          83.700    517.777
beta                              349.134    -45.922          83.823    553.917
h0                                324.748     -5.262          89.989    559.051
mNor                              413.647     94.881         107.359    684.135
mAch                              263.648     27.743          79.941    492.817
