Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             222.543     -1.240          67.303    396.186
N                                 305.896    -35.814          87.412    537.787
M                                 316.815     76.498          84.349    530.547
k1                                279.436    -82.993          93.845    550.448
k2                                267.792     47.723          92.125    538.271
tau1                              353.534   -101.553          94.309    599.737
tau2                              282.401    -13.913          78.554    495.965
tauAch                            270.549      4.562          76.469    484.757
tauNor                            245.611     17.475          77.244    473.897
beta                              318.661    -46.146          75.743    506.650
h0                                297.887    -11.038          81.891    517.842
mNor                              378.301     87.747          96.732    626.684
mAch                              238.324     25.863          73.824    450.596
