Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             214.543     -1.694          63.066    384.383
N                                 296.469    -35.664          81.352    522.514
M                                 306.254     73.298          81.995    514.471
k1                                270.243    -80.778          90.735    534.073
k2                                258.768     45.742          89.899    522.092
tau1                              342.543    -97.804          96.558    582.659
tau2                              273.320    -12.734          76.150    481.355
tauAch                            261.059      4.306          77.984    469.817
tauNor                            237.722     15.995          74.746    460.642
beta                              309.180    -45.452          75.520    492.107
h0                                288.273    -10.398          80.122    501.957
mNor                              367.399     85.611          92.829    608.856
mAch                              231.459     25.348          72.580    438.140
