Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             239.605     -1.147          65.866    426.065
N                                 332.229    -38.096          90.230    581.995
M                                 341.119     80.352          90.880    571.551
k1                                301.602    -89.563         103.087    590.554
k2                                292.087     48.636         101.122    583.645
tau1                              382.928   -108.902         104.116    646.484
tau2                              304.348    -12.158          85.280    534.143
tauAch                            294.126      2.565          85.631    522.083
tauNor                            265.752     17.016          82.019    512.311
beta                              344.712    -46.247          83.815    547.547
h0                                320.607     -7.300          87.900    554.325
mNor                              409.157     94.302         104.433    676.397
mAch                              258.495     26.907          78.187    486.796
