Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             160.592      3.178          42.967    278.410
N                                 211.015    -26.731          59.900    371.578
M                                 219.177     54.960          58.491    364.754
k1                                201.958    -53.675          62.294    384.477
k2                                208.585     15.104          65.034    394.062
tau1                              246.281    -82.155          62.774    407.919
tau2                              194.378    -11.841          55.458    338.957
tauAch                            211.581    -28.065          55.855    353.713
tauNor                            178.255     20.080          54.873    338.870
beta                              223.212    -27.623          52.035    352.210
h0                                206.668     15.998          55.920    353.450
mNor                              270.021     70.118          68.871    444.041
mAch                              174.267      7.581          54.332    317.551
