Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             221.182     -1.310          63.450    392.858
N                                 304.479    -37.774          86.156    535.641
M                                 313.620     75.361          80.506    525.671
k1                                277.196    -82.581          91.490    544.845
k2                                266.356     44.977          91.267    535.404
tau1                              351.549    -99.179          94.737    594.956
tau2                              278.673    -11.441          77.360    490.417
tauAch                            269.205      2.330          76.523    478.888
tauNor                            241.953     16.188          77.008    469.623
beta                              316.597    -45.034          75.483    503.693
h0                                295.389     -5.824          79.604    510.979
mNor                              374.658     86.688         104.142    621.569
mAch                              238.508     25.789          74.484    447.956
