Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             168.519     -6.071          47.576    297.957
N                                 229.466    -31.868          65.637    403.655
M                                 235.989     51.800          63.396    393.987
k1                                210.682    -61.846          70.973    412.895
k2                                197.768     33.120          67.387    398.218
tau1                              268.108    -72.249          72.091    451.531
tau2                              213.154     -7.275          61.112    371.564
tauAch                            198.082      5.341          61.079    362.529
tauNor                            186.953      6.646          58.824    356.985
beta                              242.666    -40.015          56.807    379.503
h0                                228.743    -11.357          62.706    387.320
mNor                              285.126     68.982          73.186    472.042
mAch                              184.845     22.816          56.777    341.469
