Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             250.604      2.432          67.158    424.917
N                                 334.762    -43.914          92.578    586.380
M                                 339.342     74.806          85.960    564.862
k1                                301.136    -84.480          94.857    575.831
k2                                303.622     37.338         102.333    595.587
tau1                              386.726   -109.137         101.179    639.430
tau2                              301.689      5.879          81.802    525.355
tauAch                            300.033    -10.586          80.959    515.566
tauNor                            264.884     13.755          87.405    516.004
beta                              347.256    -37.185          85.158    552.919
h0                                330.600     22.463          91.483    565.416
mNor                              402.414     95.860         102.734    666.631
mAch                              261.505     21.178          79.203    482.830
