Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             192.413     -3.371          55.845    344.024
N                                 265.776    -35.010          78.525    468.617
M                                 272.164     63.651          73.007    458.827
k1                                241.691    -71.795          81.111    478.105
k2                                230.381     39.471          78.387    465.797
tau1                              306.807    -86.250          79.691    522.089
tau2                              243.415     -9.359          68.797    429.550
tauAch                            231.452      3.716          70.667    419.518
tauNor                            213.379     13.137          70.344    413.582
beta                              277.727    -42.608          67.021    440.639
h0                                258.969     -8.594          69.004    448.677
mNor                              329.328     77.951          84.733    546.056
mAch                              209.636     23.614          64.766    393.762
