Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.399     -5.786          69.159    422.533
N                                 326.941    -41.099          95.094    573.776
M                                 335.768     77.038          90.446    564.190
k1                                296.873    -87.671         100.025    586.988
k2                                284.484     48.698          98.084    572.037
tau1                              379.390   -105.198         104.322    641.928
tau2                              301.198    -10.995          86.104    527.734
tauAch                            285.900      5.672          82.402    519.423
tauNor                            264.282     13.532          84.885    507.063
beta                              342.767    -52.291          82.914    540.843
h0                                320.026    -14.713          88.682    551.842
mNor                              406.624     96.503         103.745    672.593
mAch                              258.630     29.593          77.002    485.099
