Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             151.087     -5.378          41.233    263.101
N                                 206.209    -29.667          57.310    361.164
M                                 209.908     45.031          56.988    348.265
k1                                188.661    -55.437          60.516    362.776
k2                                176.781     26.743          58.841    353.408
tau1                              239.870    -61.907          66.746    399.993
tau2                              188.062     -5.125          51.410    327.535
tauAch                            177.540      3.550          51.518    317.118
tauNor                            163.412      3.273          51.759    314.808
beta                              214.937    -31.832          50.629    336.795
h0                                200.908     -3.642          54.918    338.494
mNor                              251.632     59.366          64.344    417.590
mAch                              166.965     19.408          48.001    302.440
