Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             204.748     -1.715          59.517    367.496
N                                 283.139    -34.332          80.685    499.329
M                                 292.496     69.987          77.017    491.749
k1                                257.962    -77.214          87.503    510.601
k2                                247.015     43.725          82.498    498.812
tau1                              327.213    -93.340          88.754    556.989
tau2                              260.947    -12.045          73.547    459.902
tauAch                            249.266      4.194          72.867    449.281
tauNor                            227.050     15.199          74.866    440.285
beta                              295.488    -43.706          70.812    470.394
h0                                275.384    -10.190          75.791    479.903
mNor                              351.193     81.934          91.486    582.181
mAch                              221.247     24.229          70.268    419.028
