Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.005     -6.217          67.635    421.567
N                                 326.906    -40.707          89.546    574.163
M                                 335.618     75.992          88.562    562.998
k1                                297.346    -87.892          96.526    586.137
k2                                284.273     48.534          96.036    571.174
tau1                              380.039   -105.283         102.679    641.781
tau2                              301.885    -11.801          85.592    528.785
tauAch                            284.604      5.978          84.443    517.846
tauNor                            264.186     12.732          85.794    507.174
beta                              342.975    -51.815          80.870    540.207
h0                                320.804    -14.735          85.385    550.891
mNor                              406.552     96.459         107.789    671.412
mAch                              258.440     29.974          81.156    484.119
