Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              33.051      0.212           9.364     58.287
N                                  44.921     -5.004          12.453     78.824
M                                  46.866     11.361          11.759     77.672
k1                                 41.259    -12.179          13.901     80.382
k2                                 39.400      7.126          13.524     78.959
tau1                               52.160    -15.091          14.059     87.864
tau2                               41.370     -2.297          11.605     72.321
tauAch                             39.836      0.609          11.677     70.694
tauNor                             36.070      2.860          11.592     69.374
beta                               46.352     -6.183          11.418     74.184
h0                                 43.920     -1.347          12.155     75.600
mNor                               55.423     12.665          14.703     91.612
mAch                               34.985      3.420          11.054     65.953
